Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Karya.Core.App\Karya.Core.App.csproj,File,Karya.Core.App\Karya.Core.App.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Core\Karya.Core.csproj,File,Karya.Core\Karya.Core.csproj,,,Microsoft.EntityFrameworkCore 9.0.14,,,,,"Microsoft.EntityFrameworkCore, 9.0.14  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Core\Karya.Core.csproj,File,Karya.Core\Karya.Core.csproj,,,System.Formats.Asn1 6.0.1,,,,,"System.Formats.Asn1, 6.0.1  Recommendation:  Remove System.Formats.Asn1, and replace with new package System.Formats.Asn1 10.0.10"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Karya.Core\Karya.Core.csproj,File,Karya.Core\Karya.Core.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Karya.Core\Karya.Core.csproj,File,Karya.Core\Helpers\Generals\UpdateDtoHelper.cs,37,20,"M:System.Text.Json.JsonSerializer.Deserialize(System.String,System.Type,System.Text.Json.JsonSerializerOptions)",,,,,"var convertedJsonValue = JsonSerializer.Deserialize(jsonElement.GetRawText(), property.PropertyType);"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Core.Indentity\Karya.Core.Indentity.csproj,File,Karya.Core.Indentity\Karya.Core.Indentity.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.14,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.14  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Core.Indentity\Karya.Core.Indentity.csproj,File,Karya.Core.Indentity\Karya.Core.Indentity.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Karya.Core.Indentity\Karya.Core.Indentity.csproj,File,Karya.Core.Indentity\Karya.Core.Indentity.csproj,,,System.Reflection.Emit 4.3.0,,,,,"System.Reflection.Emit, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Karya.Core.Indentity\Karya.Core.Indentity.csproj,File,Karya.Core.Indentity\Karya.Core.Indentity.csproj,,,System.Reflection.Emit.Lightweight 4.3.0,,,,,"System.Reflection.Emit.Lightweight, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Core.Indentity\Karya.Core.Indentity.csproj,File,Karya.Core.Indentity\Karya.Core.Indentity.csproj,,,System.Security.Cryptography.Xml 9.0.18,,,,,"System.Security.Cryptography.Xml, 9.0.18  Recommendation:  Remove System.Security.Cryptography.Xml, and replace with new package System.Security.Cryptography.Xml 10.0.10"
